Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,59.080002,59.52,58.41,58.59,2515200,58.59
2014-01-03,58.830002,59.139999,58.509998,58.779999,1920900,58.779999
2014-01-06,58.93,59.150002,57.43,57.779999,3055000,57.779999
2014-01-07,59.009998,59.080002,57.810001,58.279999,3167600,58.279999
2014-01-08,58.290001,58.5,57.360001,58.02,2562600,58.02
2014-01-09,58.09,58.18,57.009998,57.349998,3070600,57.349998
2014-01-10,58.299999,59.84,57.290001,59.599998,5217100,59.599998
2014-01-13,51.560001,51.75,49.0,49.700001,24028900,49.700001
2014-01-14,49.889999,49.939999,48.889999,49.259998,6312500,49.259998
2014-01-15,50.029999,50.279999,49.279999,49.650002,4702300,49.650002
2014-01-16,49.91,49.91,48.5,48.790001,4600400,48.790001
2014-01-17,48.549999,48.919998,47.150002,47.490002,5915900,47.490002
2014-01-21,47.040001,48.25,46.5,47.849998,5209300,47.849998
2014-01-22,47.779999,47.849998,47.299999,47.459999,4639900,47.459999
2014-01-23,47.200001,47.400002,46.349998,47.150002,5384000,47.150002
2014-01-24,46.799999,48.169998,46.75,47.619999,7198300,47.619999
2014-01-27,47.470001,47.599998,45.540001,46.27,4565100,46.27
2014-01-28,46.099998,47.18,46.099998,46.709999,2034200,46.709999
2014-01-29,46.18,46.48,45.400002,45.68,2471600,45.68
2014-01-30,46.220001,47.240002,45.41,46.82,3650700,46.82
2014-01-31,45.84,46.369999,45.540001,45.689999,2717400,45.689999
2014-02-03,46.0,46.09,44.459999,44.779999,3052000,44.779999
2014-02-04,44.919998,46.110001,44.68,44.98,3046700,44.98
2014-02-05,44.799999,45.310001,44.32,44.529999,2363300,44.529999
2014-02-06,44.450001,45.580002,44.360001,45.450001,3424500,45.450001
2014-02-07,46.790001,48.09,46.52,47.380001,6567200,47.380001
2014-02-10,47.84,48.0,46.810001,47.529999,2846200,47.529999
2014-02-11,47.650002,48.5,47.57,48.27,2820200,48.27
2014-02-12,48.759998,49.759998,48.220001,49.400002,4288500,49.400002
2014-02-13,49.34,50.790001,49.029999,50.09,3897900,50.09
2014-02-14,50.32,51.41,49.939999,51.049999,3505300,51.049999
2014-02-18,52.299999,52.689999,51.27,51.419998,4267600,51.419998
2014-02-19,51.259998,52.290001,50.330002,51.209999,3919500,51.209999
2014-02-20,51.419998,51.73,50.669998,51.139999,2255200,51.139999
2014-02-21,51.209999,51.82,51.119999,51.389999,1581700,51.389999
2014-02-24,51.290001,52.150002,51.220001,51.619999,2054000,51.619999
2014-02-25,51.82,51.98,50.450001,51.52,2835800,51.52
2014-02-26,51.790001,52.75,51.68,52.330002,2732600,52.330002
2014-02-27,52.450001,53.389999,52.07,52.91,2211000,52.91
2014-02-28,51.52,51.880001,49.68,50.310001,5679300,50.310001
2014-03-03,49.5,50.689999,49.139999,49.560001,3300000,49.560001
2014-03-04,50.009998,50.349998,49.599998,50.009998,2305300,50.009998
2014-03-05,50.150002,50.470001,49.709999,49.880001,1855700,49.880001
2014-03-06,50.0,50.169998,48.849998,49.119999,3105600,49.119999
2014-03-07,49.57,50.200001,49.220001,49.610001,2431800,49.610001
2014-03-10,49.369999,49.740002,48.709999,49.110001,2249800,49.110001
2014-03-11,49.0,49.470001,48.610001,48.700001,2164400,48.700001
2014-03-12,48.450001,48.48,46.709999,47.130001,4858400,47.130001
2014-03-13,47.450001,47.5,46.43,46.779999,2018900,46.779999
2014-03-14,46.459999,47.599998,46.400002,46.779999,2016600,46.779999
2014-03-17,47.110001,48.290001,47.009998,48.040001,2194500,48.040001
2014-03-18,48.040001,49.540001,47.880001,49.009998,2957300,49.009998
2014-03-19,49.59,50.939999,49.080002,50.23,3943900,50.23
2014-03-20,50.02,50.119999,48.549999,48.740002,2864700,48.740002
2014-03-21,48.73,48.950001,47.490002,47.630001,4076700,47.630001
2014-03-24,47.700001,49.599998,47.650002,49.32,4243400,49.32
2014-03-25,49.459999,49.970001,47.799999,47.990002,3890400,47.990002
2014-03-26,48.490002,49.330002,48.200001,48.23,4777000,48.23
2014-03-27,50.029999,52.98,49.82,51.200001,11867800,51.200001
2014-03-28,51.27,52.57,50.25,51.889999,6767200,51.889999
2014-03-31,53.029999,53.200001,51.990002,52.59,3948900,52.59
2014-04-01,52.669998,53.0,52.150002,52.98,2597600,52.98
2014-04-02,52.970001,54.630001,52.529999,54.41,3769500,54.41
